product_name,product_category,price,inventory_level,supplier_name,supplier_contact,date,order_lead_time,demand_quantity,demand_trend,seasonal_discount,Seasonality Factors,weather_condition,product_ID
Organic Baby Spinach,Food - Produce,828.51,5762,Livetube,470-305-9434,12/18/2022,27,71463,6,0.46,holiday,windy,28022
Buffalo Sauce,Food - Condiments,929.47,1313,Feedfish,911-442-9101,9/7/2023,20,71247,100,0.39,festival,rainy,21023
Portable Air Conditioner,Home Appliances,617.41,8415,Gigazoom,375-783-7523,2/10/2023,10,78537,-79,0.32,NAN,cloudy,29024
Maple Almond Butter,Food - Nut Butters,559.91,7967,Shufflester,610-227-2988,8/9/2024,21,34304,85,0.26,NAN,sunny,30025
Kids' Building Blocks,Toys,287.24,2407,Podcat,214-892-3674,6/16/2022,6,2520,-24,0.09,NAN,rainy,26026
Pasta Sauce Mix,Food - Sauces,482.09,1342,Buzzdog,470-416-4798,6/25/2024,8,86887,-54,0.36,NAN,foggy,25027
Personal Blender,Kitchen,752.67,5945,Leenti,466-552-5272,6/22/2024,9,36329,-20,0.07,holiday,windy,10028
Kids' Outdoor Explorer Kit,Toys,621.56,7383,Dabvine,866-260-1223,11/14/2022,28,16148,-76,0.09,holiday,windy,26029
Oven-Baked Chicken Tenders,Food - Meat,487.29,7270,Skidoo,156-251-7114,12/3/2023,21,75722,0,0.23,holiday,sunny,31030
Ski Goggles,Sports,939.24,4118,Flipstorm,176-331-7499,12/28/2024,25,54719,-4,0.38,NAN,cloudy,32031
Diced Tomatoes (canned),Food - Canned Goods,52.85,7235,Reallinks,616-586-4245,4/19/2024,23,76241,-45,0.47,festival,rainy,33032
Heavy Duty Gardening Tool Set,Garden,731.19,8929,Leenti,546-169-8059,7/29/2023,4,22751,75,0.42,holiday,foggy,34033
Bamboo Memory Foam Pillow,Home,687.09,6995,Photofeed,974-999-8780,9/18/2024,24,79079,-35,0.04,festival,windy,16034
Chunky Knit Sweater,Clothing - Tops,474.64,447,Trudeo,140-652-0236,7/19/2024,28,80318,37,0.01,NAN,windy,35035
Guitar Tuner,Music,949.08,643,Zoozzy,447-740-8237,6/18/2022,26,62035,-19,0.34,holiday,cloudy,36036
Wireless Earbud Silicone Covers,Accessories,361.18,9021,Shuffledrive,116-818-0120,4/13/2024,21,16184,-4,0.22,NAN,cloudy,37037
Plaid Flannel Shirt,Clothing - Tops,900.33,5990,Zoombeat,689-726-6951,5/30/2023,11,70528,-28,0.14,holiday,windy,35038
Ricotta Cheese,Food - Dairy,43.53,7986,Agivu,390-329-8523,6/24/2023,17,34552,-83,0.18,holiday,windy,38039
Feta Cheese Crumbles,Food - Dairy,420.32,912,Rhynyx,396-771-1973,7/30/2022,25,90310,90,0.08,holiday,rainy,38040
Balsamic Fig Dressing,Food - Condiments,252.05,18,Digitube,676-966-7763,6/23/2024,16,51883,-26,0.18,holiday,windy,21041
Laptop Backpack,Accessories,328.85,3981,Wordware,885-597-1944,2/27/2022,1,62600,-47,0.33,festival,cloudy,37042
Portable Projector,Electronics,56.62,5561,Kamba,345-498-9643,8/17/2022,22,60502,-78,0.27,festival,sunny,17043
Spicy Thai Coconut Soup,Food - Soups,517.67,1276,Ntags,114-159-1491,7/30/2024,25,26760,74,0.16,holiday,windy,39044
Fettuccine Alfredo Dinner Kit,Food - Prepared Meals,556.39,9417,Feedfish,758-770-5751,7/30/2023,12,76948,3,0.04,holiday,foggy,40045
Sesame Noodles,Food - Grab-and-Go,974.53,1678,Brightdog,373-355-7308,12/17/2024,9,38580,20,0.44,festival,rainy,41046
Chipotle Seasoning Blend,Food - Spices,22.28,1551,Feedfire,518-916-9331,7/19/2022,13,67156,-79,0.09,festival,sunny,42047
Curried Lentil Salad,Food - Salads,243.6,4250,Voomm,294-403-8220,3/11/2022,5,34317,-87,0.47,holiday,cloudy,43048
Backpack,Accessories,234.36,2367,Jetpulse,738-750-1734,8/4/2024,19,21703,-19,0.11,festival,windy,37049
Electric Rice Cooker,Kitchen,981.09,2627,Tagtune,615-993-1737,1/19/2022,22,78909,-59,0.48,festival,foggy,10050
Mango Chutney,Food - Condiments,877.91,7030,Muxo,153-520-6171,9/4/2023,27,74554,27,0.14,festival,rainy,21051
Wireless Charging Station,Electronics,640.14,3822,Fanoodle,187-623-1685,8/6/2024,29,59343,-28,0.41,festival,windy,17052
Children's Gardening Set,Toys,856.7,3849,Devpulse,845-241-6950,8/19/2024,16,92353,1,0.09,holiday,rainy,26053
Outdoor Camping Lantern,Outdoor,255.91,5863,Kwideo,176-366-7347,8/22/2023,18,68807,4,0.24,NAN,foggy,44054
Portable Air Purifier,Health,502.91,2984,Topiclounge,522-668-2226,7/27/2024,3,7734,98,0.04,holiday,foggy,45055
Yoga Wheel,Fitness,248.37,2124,Kazio,202-937-9627,4/27/2022,8,46492,72,0.31,festival,rainy,46056
Gingerbread House Kit,Food - Baking,370.29,4421,Skinder,207-645-4882,6/19/2024,26,61268,13,0.31,holiday,windy,47057
Peach Slices (canned),Food - Canned Goods,876.67,340,Tanoodle,589-582-6620,4/12/2024,30,27426,42,0.07,holiday,foggy,33058
Sesame Garlic Noodles,Food - Pasta,902.81,8676,Vinte,841-692-2018,10/25/2023,18,516,55,0.06,holiday,windy,12059
Fashionable Scarves Set,Clothing,373.62,4831,Quamba,977-884-1384,5/10/2024,28,95615,75,0.5,holiday,foggy,15060
Air Fryer Oven,Kitchen,122.41,3600,Dabshots,268-173-9582,7/2/2024,28,92007,-95,0.14,NAN,foggy,10061
Pistachios,Food - Nuts,215.9,5052,Rhycero,352-982-2653,10/24/2022,23,79927,65,0.43,NAN,rainy,48062
Bluetooth Shower Speaker,Audio,101.19,9682,Flipbug,466-583-8557,5/21/2023,9,96551,35,0.02,festival,sunny,49063
Puzzle Mat,Toys,824.31,1394,Twitterbridge,832-551-9934,5/19/2024,23,25572,-91,0.24,festival,foggy,26064
Strawberry Banana Smoothie Pack,Food - Frozen,31.51,2388,BlogXS,902-786-6090,2/4/2024,28,2198,-24,0.35,holiday,windy,50065
High-Speed HDMI Cable,Electronics,521.87,2896,Feedbug,242-123-5384,12/6/2024,3,73107,-31,0.46,holiday,windy,17066
Teriyaki Stir-Fry Sauce,Food - Condiments,596.55,491,Jabbercube,395-633-0315,6/29/2024,6,14284,-29,0.23,NAN,sunny,21067
Pet Carrier Backpack,Pets,126.69,5050,Divape,233-137-8759,7/12/2022,21,78060,-97,0.16,NAN,sunny,22068
Travel Pillow,Travel,188.53,6917,Centidel,620-442-3361,7/16/2023,24,7545,-15,0.1,NAN,sunny,51069
Chino Shorts,Clothing - Bottoms,997.57,4095,Quatz,215-206-6091,2/25/2023,26,41990,92,0.1,holiday,cloudy,52070
Nutty Trail Mix,Food - Snacks,171.63,8692,Omba,616-146-6987,11/6/2024,14,13995,86,0.49,NAN,cloudy,23071
Wall Decals for Kids,Home,566.89,5159,Kanoodle,209-131-2906,6/14/2023,15,6502,86,0.15,festival,cloudy,16072
LED Under Cabinet Lighting,Home,995.88,5213,Quinu,321-304-6030,2/16/2023,1,24148,-30,0.47,holiday,rainy,16073
DIY Candle Kit,Crafts,979.57,8552,Fadeo,720-485-2471,11/14/2024,15,39953,63,0.07,holiday,cloudy,53074
Pineapple Coconut Bars,Food - Snacks,255.83,6438,Quamba,480-677-4785,11/22/2023,2,98531,4,0.28,holiday,windy,23075
Jalapeño Cornbread,Food - Bakery,162.26,7213,Browsedrive,386-240-3297,11/6/2022,15,58740,-56,0.37,festival,cloudy,18076
Lentils,Food - Grains,144.86,9029,Zoombox,702-972-2804,9/27/2022,24,72867,69,0.17,festival,sunny,14077
Adjustable Window Blind,Home,979.44,5465,Blognation,455-351-1364,1/27/2023,19,54554,-55,0.11,festival,cloudy,16078
Vegetable Stir-Fry Kit,Food - Produce,178.19,5580,Bluezoom,291-549-4748,12/12/2024,9,88719,71,0.33,NAN,rainy,28079
Garden Tool Belt,Garden,973.3,2542,Eidel,748-392-4804,8/2/2024,6,45085,-20,0.38,festival,windy,34080
Dark Chocolate Tart,Food - Desserts,67.18,2413,Quinu,156-502-9651,6/6/2024,25,77121,-8,0.36,NAN,windy,54081
Gardening Kneeler and Seat,Garden,35.36,9803,Camido,436-605-1562,4/6/2023,25,47247,77,0.28,NAN,cloudy,34082
Honey Garlic Shrimp,Food - Seafood,60.03,4014,Devify,498-854-3863,5/4/2022,18,94920,89,0.07,holiday,cloudy,55083
DIY Candle Making Kit,Crafts,359.65,3696,Bluejam,227-923-8953,5/28/2022,28,92871,-75,0.09,NAN,rainy,53084
Miso Soup Starter,Food - Soups,558.49,4271,Kwideo,836-789-4156,7/21/2023,29,3031,-54,0.06,festival,sunny,39085
Car Emergency Kit,Automotive,662.04,982,Zoombox,617-499-7245,10/9/2024,7,18013,58,0.45,holiday,rainy,56086
Eco-Friendly Beeswax Wraps,Kitchen,645.1,1275,Brightbean,341-785-3274,10/6/2022,25,69615,24,0.05,NAN,cloudy,10087
Smart Light Switch,Smart Home,84.3,8774,Meetz,322-241-5698,11/16/2022,14,36658,-87,0.18,festival,foggy,57088
Mobile Workbench,Tools,843.46,388,Twimbo,780-945-7208,10/10/2024,4,90215,-23,0.01,festival,rainy,58089
Wall-Mounted Organizer,Home,233.75,745,Jamia,559-419-5742,6/12/2024,17,68945,90,0.35,holiday,windy,16090
Sunglasses,Accessories,782.08,5857,Realblab,631-163-3631,2/5/2022,16,44094,-26,0.42,holiday,sunny,37091
Electric Air Pump,Outdoor,627.58,1659,Rhybox,901-230-8543,4/29/2023,27,65238,-37,0.03,holiday,rainy,44092
Fitness Mat,Fitness,578.91,2889,Leexo,768-523-2678,7/3/2022,25,30232,73,0.17,NAN,foggy,46093
Pineapple Teriyaki Chicken Mix,Food - Meat,934.44,6510,Edgepulse,322-314-7308,6/16/2022,29,39526,43,0.43,festival,rainy,31094
Chilli Lime Corn on the Cob,Food - Vegetable,448.9,2470,Linklinks,458-187-3238,7/9/2024,7,87131,-26,0.22,festival,rainy,59095
Blue Corn Tortilla Chips,Food - Snacks,906.16,2023,Yombu,408-219-7677,2/7/2023,8,26623,54,0.12,festival,cloudy,23096
Puzzle Mat,Toys,407.12,2561,Aivee,963-354-2682,6/15/2022,18,79659,-33,0.02,festival,rainy,26064
Honey Glazed Carrots,Food - Produce,893.55,1189,Voonder,710-786-5170,9/28/2022,27,73355,94,0.31,NAN,windy,28097
Pet Grooming Brush,Pets,43.39,8240,Yadel,889-372-8826,3/23/2023,19,74683,26,0.13,festival,cloudy,22098
Nordic Berry Smoothie,Food - Frozen Foods,443.24,1946,Rhyzio,226-637-4607,3/9/2022,26,56946,-60,0.12,festival,rainy,20099
Tomatillo Salsa,Food - Condiments,681.75,3323,Jamia,416-810-2251,1/9/2024,16,12294,-36,0.32,NAN,foggy,21100
Pumpkin Waffles,Food - Breakfast,403.09,5223,Jaxnation,151-925-6544,4/8/2022,29,93024,51,0.42,holiday,windy,13101
Compact Portable Grill,Outdoor,545.13,6223,Ntag,930-231-3313,3/21/2024,9,84084,-1,0.36,holiday,cloudy,44102
Portable Solar Camp Shower,Outdoor,102.12,8853,Yodel,260-143-9602,9/1/2022,7,54559,-50,0.21,holiday,windy,44103
Bamboo Toothbrush,Health,279.08,9444,Topicware,506-154-4496,12/15/2023,22,12136,68,0.19,NAN,foggy,45104
Crispy Kale Chips,Food - Snacks,624.94,6651,Babbleset,447-553-5634,9/18/2024,19,51971,21,0.01,NAN,cloudy,23105
Weighted Blanket for Adults,Health,677.03,1908,Browsebug,569-125-2437,6/23/2022,29,95920,-17,0.43,festival,foggy,45106
Honey Sesame Chicken,Food - Frozen Food,321.42,5272,Livetube,209-320-3906,11/4/2023,27,99316,79,0.38,holiday,cloudy,60107
Car Escape Tool,Automotive,174.03,9974,Muxo,495-835-8099,2/22/2022,19,83185,-86,0.07,holiday,foggy,56108
Magnetic Whiteboard,Office,497.11,5013,Skivee,928-397-8542,9/19/2022,19,47453,-12,0.22,holiday,sunny,61109
Robot Vacuum Cleaner,Home Appliances,120.85,5511,Livetube,953-328-3009,10/30/2022,17,14300,25,0.31,festival,windy,29110
Diced Tomatoes (canned),Food - Canned Goods,563.86,7300,Feedbug,171-698-0541,1/1/2024,1,66778,-70,0.09,holiday,rainy,33032
Chocolate Fudge Ice Cream,Food - Frozen Desserts,513.55,6299,Yabox,223-893-4746,6/26/2024,2,2934,87,0.28,NAN,windy,62111
Compact Umbrella,Accessories,670.26,9383,Quimba,619-592-4728,7/27/2023,12,14051,34,0.0,festival,rainy,37112
Fashionable Fanny Pack,Clothing - Accessories,153.46,8753,Nlounge,449-466-1702,1/1/2022,9,30816,-30,0.18,holiday,cloudy,63113
Stainless Steel Straws,Kitchen,427.75,7262,Ooba,401-732-0317,4/21/2023,11,75757,4,0.09,NAN,cloudy,10114
Puffed Rice Cake,Food - Snacks,673.68,8278,Photobug,979-152-1548,6/29/2023,19,22746,60,0.08,NAN,windy,23115
Fresh Cilantro,Food - Produce,109.81,2038,Twimbo,338-509-0731,10/4/2022,21,37077,53,0.26,NAN,sunny,28116
Inflatable Paddle Board,Outdoor,718.09,548,Skinix,879-621-4038,11/17/2022,25,9619,-19,0.41,holiday,rainy,44117
Chocolate Chip Energy Balls,Food - Snacks,553.17,4006,Oyoyo,658-272-4708,11/14/2024,15,69603,59,0.25,NAN,windy,23118
Solar Garden Lights,Outdoor,262.4,4677,Wikizz,238-694-5398,7/2/2022,23,18271,-48,0.13,festival,foggy,44119
High-Low Hem Tee,Clothing - Tops,743.77,1650,Youspan,180-115-6375,6/11/2023,7,61343,5,0.3,NAN,windy,35120
Tailgating Set,Outdoor,157.42,6887,Jabbertype,358-674-8456,2/7/2022,2,95327,-69,0.27,festival,sunny,44121
Digital Food Scale,Kitchen,145.37,1899,Skynoodle,943-800-9583,9/30/2023,29,32001,87,0.06,holiday,foggy,10122
Tailored Blazer,Clothing - Outerwear,503.59,9000,Buzzbean,793-481-8069,8/6/2023,15,1957,-5,0.16,holiday,rainy,64123
Rain Jacket,Clothing,559.98,8229,Roodel,634-405-0889,7/21/2023,12,54452,68,0.42,holiday,sunny,15124
Car Vacuum Cleaner,Automotive,758.24,6504,Zoomzone,456-660-8066,2/5/2024,10,18557,73,0.06,holiday,windy,56125
Black Bean & Corn Salad,Food - Salads,215.23,6544,Zooveo,433-555-3717,9/18/2024,29,32201,-43,0.18,festival,cloudy,43126
Karaoke Microphone,Music,830.75,8626,Fadeo,706-643-0191,7/3/2023,24,26234,-100,0.12,holiday,sunny,36127
Multifunctional Baby Bottle Warmer,Baby,983.22,4679,Buzzdog,931-801-4366,3/24/2023,11,37240,91,0.23,NAN,rainy,27021
Foldable Picnic Table,Outdoor,746.83,2539,Zoombox,753-193-2408,12/21/2024,7,81090,90,0.29,holiday,sunny,44128
Electric Heat Press Machine,Crafts,650.81,9258,Topicware,290-184-2152,3/23/2024,6,57172,-83,0.32,holiday,sunny,53129
Cold Brew Coffee Concentrate,Food - Beverages,813.21,6368,Nlounge,454-810-1147,3/14/2024,12,82681,-95,0.19,NAN,rainy,65130
Kids' Craft Supplies Set,Toys,333.6,8651,Eidel,780-375-9235,8/30/2023,9,40991,69,0.01,holiday,sunny,26131
Video Camera,Electronics,862.58,2080,Demizz,106-607-8768,8/13/2024,2,61778,79,0.24,holiday,foggy,17132
Ranch Dressing,Food - Condiments,160.67,8650,Trudeo,704-190-1204,9/15/2022,5,2837,88,0.24,holiday,windy,21133
Organic Chia Seeds,Food - Health Foods,304.48,3416,Eimbee,202-187-0744,3/27/2022,21,43444,-96,0.35,festival,sunny,66134
Savory Oatmeal Cups,Food - Breakfast,417.73,4082,Devify,377-747-7473,8/8/2023,26,83602,40,0.2,holiday,foggy,13135
Electric Food Steamer,Kitchen,807.44,1460,Shuffletag,382-109-3861,10/8/2024,12,98522,98,0.22,festival,rainy,10136
Smartphone Camera Lens Kit,Photography,720.59,4529,Rhybox,346-348-5974,1/25/2023,13,35564,50,0.1,NAN,rainy,67137
Snack Container Set,Kitchen,167.68,6515,Meevee,635-618-9091,4/1/2024,20,31522,64,0.29,holiday,rainy,10138
Picnic Blanket,Outdoor,885.66,2989,Ooba,337-930-6197,11/24/2024,17,25725,-8,0.21,NAN,rainy,44139
Plant-Based Protein Bars,Health,9.33,2149,Shuffletag,445-337-7406,5/22/2022,27,66739,68,0.21,holiday,cloudy,45140
Sun Protection Clothing,Clothing,988.81,2067,Topicstorm,914-192-7257,1/10/2022,28,44811,4,0.42,NAN,foggy,15141
Vegetarian Stir Fry Sauce,Food - Condiments,431.59,3646,Dynava,884-921-2281,2/10/2022,16,53324,8,0.09,NAN,foggy,21142
Apple Juice,Food - Beverages,457.33,1102,Browsetype,782-227-8248,3/22/2024,30,45860,32,0.37,festival,foggy,65143
Portable Folding Picnic Table,Outdoor,773.38,1251,Mydo,633-551-8515,3/21/2024,5,59853,18,0.34,holiday,foggy,44144
Avocado Oil Mayo,Food - Condiments,917.1,2915,Oyoba,527-591-2285,8/3/2024,13,58578,70,0.15,festival,sunny,21145
Pepperoni Pizza Roll-Ups,Food - Frozen Foods,165.06,4248,Innojam,612-403-6573,8/14/2023,18,18523,-79,0.35,holiday,foggy,20146
Adjustable Pet Feeder,Pets,617.58,653,Trudeo,977-788-3415,9/29/2024,6,15801,68,0.05,holiday,rainy,22147
Marinated Artichokes,Food - Vegetables,750.91,6865,Brainverse,661-420-5785,9/7/2022,12,43776,-91,0.24,festival,sunny,68148
Artisan Cornbread Mix,Food - Baking,880.38,853,Einti,513-161-4172,8/20/2022,9,36619,-57,0.3,festival,cloudy,47149
Sporty Slide Sandals,Clothing - Footwear,347.04,5960,Brainbox,319-532-2401,3/26/2022,20,23302,-12,0.17,holiday,sunny,69150
Heart-Shaped Baking Molds,Kitchen,28.82,6919,Babbleopia,547-211-4294,2/15/2023,10,75512,0,0.42,festival,cloudy,10151
LED Under Cabinet Lighting,Home,846.94,1021,JumpXS,684-591-6706,1/12/2022,23,33900,21,0.23,holiday,sunny,16073
Fashionable Scarves Set,Clothing,519.95,8601,Miboo,474-894-0490,5/18/2023,10,57625,-74,0.04,holiday,windy,15060
Maple Bacon Jerky,Food - Meat,308.3,2410,Tavu,281-228-7205,8/7/2023,6,5068,-61,0.29,holiday,cloudy,31152
Mango Chutney,Food - Condiments,137.18,2916,Ntags,284-586-5810,7/17/2024,29,72275,-95,0.07,festival,sunny,21051
Organic Coconut Sugar,Food - Baking Goods,360.6,905,Meezzy,989-293-8525,12/9/2023,7,40649,-51,0.24,festival,windy,70153
Peanut Butter Pretzel Bites,Food - Snacks,191.31,2058,Yombu,558-669-9813,2/24/2024,26,80730,93,0.42,festival,cloudy,23154
Caramel Sauce,Food - Condiments,466.24,822,Twiyo,679-687-2448,7/3/2022,8,87666,-32,0.35,NAN,foggy,21155
Folding Backpack Chair,Outdoor,62.0,2497,Izio,166-892-6763,12/4/2023,27,13585,-86,0.14,holiday,windy,44156
Suede Ankle Booties,Clothing - Footwear,793.88,6428,Vimbo,837-630-7437,11/7/2022,13,75290,52,0.31,holiday,sunny,69157
Cauliflower Gnocchi,Food - Frozen Foods,490.81,6905,Realcube,734-878-8290,12/29/2023,28,17251,-23,0.39,festival,foggy,20158
Cotton Quilted Throw Blanket,Home,837.64,1602,Tagfeed,702-418-3523,9/1/2023,16,2070,-40,0.39,holiday,rainy,16159
Electric Food Slicer,Kitchen,458.98,1533,Divavu,885-736-0739,6/19/2023,27,98199,42,0.42,festival,sunny,10160
Yoga Blocks,Fitness,710.82,4529,Gigashots,598-110-4111,4/2/2024,24,10478,-23,0.14,festival,foggy,46161
Compressible Packing Cubes,Travel,840.25,8774,Vimbo,136-890-6169,11/9/2023,5,79492,-78,0.16,holiday,cloudy,51162
Luxury Bath Salts,Beauty,315.88,1148,Youopia,575-585-3870,11/15/2024,9,54168,46,0.38,NAN,foggy,71163
Oatmeal Raisin Cookies,Food - Baked Goods,744.71,7957,Dynabox,591-859-7443,3/26/2022,3,96921,1,0.41,festival,cloudy,72164
Travel Hair Straightener,Beauty,428.22,2297,Realcube,782-436-6153,7/27/2022,19,99099,-73,0.0,NAN,windy,71165
Memory Foam Mattress Pad,Home,299.05,1592,Meevee,192-284-1622,6/13/2023,25,82925,-73,0.38,festival,foggy,16166
Marinara Parmesan Baked Ziti,Food - Frozen Meals,673.35,270,Thoughtbridge,459-452-7373,9/17/2022,27,28524,84,0.19,festival,windy,73167
Roasted Garlic,Food - Condiments,525.0,6176,Rhynyx,782-242-4464,5/13/2023,18,33730,-25,0.41,NAN,foggy,21168
Vegetable Lasagna,Food - Frozen Foods,314.0,2281,Babbleset,688-437-4708,8/20/2024,4,53203,30,0.26,NAN,windy,20169
Pineapple Rings,Food - Canned Goods,293.42,4195,Janyx,523-896-7610,12/29/2024,16,69062,-75,0.37,NAN,foggy,33170
Garlic Naan Bread,Food - Bakery,79.6,5124,Yodoo,644-942-3109,12/2/2022,14,33951,-82,0.02,festival,sunny,18171
Pumpkin Ice Cream,Food - Frozen Foods,177.83,5807,Yotz,139-380-8835,7/12/2022,19,8306,-16,0.44,NAN,sunny,20172
Rice Noodles,Food - Grains,207.69,2511,Skyndu,774-973-5108,7/19/2022,17,38896,-22,0.02,holiday,foggy,14173
Honey Ginger Tea,Food - Beverages,523.03,3224,Ooba,132-800-2424,3/3/2024,1,58043,11,0.07,holiday,windy,65174
Cotton Pajama Set,Clothing - Loungewear,972.83,5146,Viva,830-118-7489,6/21/2024,3,26507,-13,0.21,holiday,cloudy,74175
Plant-Based Protein Bars,Health,930.36,5873,Yodo,385-474-5498,5/24/2023,30,31577,-38,0.04,festival,rainy,45140
Pocket Blanket,Outdoor,31.21,3753,Photolist,806-598-5620,10/16/2024,16,44621,57,0.27,festival,foggy,44176
Eco-Friendly Cleaning Cloths,Home,297.18,3981,Kare,201-193-3393,4/15/2023,24,75529,94,0.25,holiday,foggy,16177
Spicy BBQ Sauce,Food - Condiments,535.78,520,Layo,107-169-0157,8/2/2022,2,14353,1,0.12,holiday,cloudy,21178
Garden Vegetable Soup,Food - Canned Goods,365.16,8929,Buzzdog,365-138-7035,7/31/2022,13,26424,76,0.29,holiday,rainy,33179
Peach Mango Smoothie Mix,Food - Beverages,741.77,7794,Edgetag,601-181-2511,7/31/2023,3,15839,-59,0.18,NAN,windy,65180
Vegan Tacos,Food - Frozen Foods,717.52,4356,Skimia,651-994-8706,9/8/2023,18,83549,-62,0.43,festival,rainy,20181
Beef Tacos,Food - Meat,263.5,5550,Meedoo,376-237-0623,1/11/2022,3,14414,57,0.18,NAN,windy,31182
Digital Meat Thermometer,Kitchen,539.11,7425,Twitterworks,566-504-8016,10/29/2022,22,47170,-77,0.23,holiday,sunny,10183
Sweet Potato Fries,Food - Frozen Foods,635.62,8483,Tagtune,362-220-6176,5/6/2023,26,67581,18,0.41,holiday,rainy,20184
Handcrafted Wooden Jewelry Box,Accessories,478.92,2042,Wordware,652-697-9735,9/20/2023,21,54292,-50,0.01,NAN,foggy,37185
Outdoor Inflatable Pool,Outdoor,581.01,2633,Demimbu,134-908-0588,12/15/2023,29,84766,-6,0.13,holiday,sunny,44186
Kids' Science Experiment Kit,Toys,240.82,2602,Oyope,617-759-5522,9/5/2022,27,76531,-100,0.39,NAN,cloudy,26187
Chicken Fajita Kit,Food - Prepared Foods,896.35,7686,Brainbox,788-510-3185,3/22/2022,29,10482,-70,0.31,holiday,rainy,75188
Spinach Artichoke Dip,Food - Snacks,331.41,4293,JumpXS,497-851-6170,6/15/2022,26,2627,-66,0.22,holiday,sunny,23189
Organic Black Beans,Food - Canned Goods,22.75,5562,Eayo,486-418-5585,5/2/2024,20,68365,-71,0.25,festival,sunny,33190
Pet Hair Vacuum Attachment,Pets,945.62,7351,Aimbu,268-595-9903,11/9/2023,24,22846,-1,0.24,holiday,rainy,22191
Frozen Berry Blend,Food - Frozen Foods,938.97,175,Centimia,890-677-6329,9/18/2022,23,86868,19,0.23,holiday,rainy,20192
Classic Slim Fit Shirt,Clothing - Shirts,867.18,5096,Linktype,377-632-1550,2/11/2024,18,2485,5,0.12,NAN,foggy,76193
Chicken Salad Kit,Food - Prepared Foods,64.63,8164,Shuffletag,150-439-3920,4/10/2023,3,42618,31,0.35,NAN,foggy,75194
Chia Seed Pudding Mix,Food - Breakfast,235.87,3871,Wikido,475-530-4040,10/26/2023,25,10772,13,0.13,holiday,foggy,13195
Thyme,Food - Fresh Produce,765.58,4106,Voomm,535-273-3399,1/23/2022,20,99629,-64,0.34,NAN,sunny,77196
Vintage Button-Down Shirt,Clothing - Shirts,411.68,9547,Zooxo,450-357-4948,9/17/2022,21,90045,-86,0.3,NAN,windy,76197
Rice Pilaf Mix,Food - Grains,947.81,264,Rhynoodle,725-277-1548,12/17/2022,29,25066,-6,0.38,festival,windy,14198
